Line 1: 7h 50m 12s 
Line 2: 0h 2m 12s 
Line 3: 0h 7m 16s 
Line 4: 0h 8m 37s 
Line 5: 0h 1m 25s 
Line 6: 2h 13m 26s 
Line 7: 0h 0m 27s 
Line 8: 0h 19m 38s 
Line 9: 0h 43m 0s 
Line 10: 0h 4m 29s 
Line 11: 0h 36m 49s 
Line 12: 0h 1m 30s 
Line 13: 5h 12m 59s 
Line 14: 0h 0m 4s 
Line 15: 5h 44m 45s 
Line 16: 9h 15m 0s 
Line 17: 0h 5m 0s 
Line 18: 0h 11m 16s 
Line 19: 0h 1m 16s 
Line 20: 0h 9m 32s 
Line 21: 0h 2m 59s 
Line 22: 0h 2m 21s 
Line 23: 0h 0m 3s 
Line 24: 1h 46m 48s 
Line 25: 0h 0m 29s 
Line 26: 0h 31m 21s 
Line 27: 0h 1m 3s 
Line 28: 0h 25m 54s 
Line 29: 0h 13m 27s 
Line 30: 0h 33m 50s 
Line 31: 0h 0m 31s 
Line 32: 1h 14m 22s 
Line 33: 1h 21m 23s 
Line 34: 4h 51m 47s 
Line 35: 8h 44m 58s 
Line 36: 0h 2m 52s 
Line 37: 0h 3m 48s 
Line 38: 0h 12m 1s 
Line 39: 0h 1m 43s 
Line 40: 2h 23m 21s 
Line 41: 0h 0m 4s 
Line 42: 1h 3m 56s 
Line 43: 0h 0m 32s 
Line 44: 0h 20m 24s 
Line 45: 0h 20m 42s 
Line 46: 1h 27m 23s 
Line 47: 0h 0m 23s 
Line 48: 0h 0m 4s 
Line 49: 1h 19m 23s 
Line 50: 0h 0m 3s 
Line 51: 0h 41m 26s 
Line 52: 0h 0m 26s 
Line 53: 0h 39m 31s 
Line 54: 0h 0m 25s 
Line 55: 0h 18m 28s 
Line 56: 0h 0m 9s 
Line 57: 5h 20m 24s 
Line 58: 9h 12m 53s 
Line 59: 0h 0m 29s 
Line 60: 0h 13m 45s 
Line 61: 0h 12m 44s 
Line 62: 2h 58m 56s 
Line 63: 0h 25m 25s 
Line 64: 1h 17m 17s 
Line 65: 0h 0m 29s 
Line 66: 0h 19m 37s 
Line 67: 0h 9m 50s 
Line 68: 1h 20m 22s 
Line 69: 0h 15m 31s 
Line 70: 0h 1m 8s 
Line 71: 4h 22m 51s 
Line 72: 0h 0m 28s 
Line 73: 1h 24m 0s 
Line 74: 0h 0m 13s 
Line 75: 0h 49m 8s 
Line 76: 0h 4m 23s 
Line 77: -2h 0m -36s 
Line 78: 0h 4m 40s 
Line 79: 13h 0m 18s 
Line 80: 0h 4m 21s 
Line 81: 13h 8m 2s 
Line 82: 14h 8m 42s 
Line 83: 0h 33m 0s 
Line 84: 0h 31m 7s 
Line 85: 0h 1m 53s 
Line 86: 0h 38m 5s 
Line 87: 0h 10m 0s 
Line 88: 2h 51m 29s 
Line 89: 0h 0m 6s 
Line 90: 1h 44m 55s 
Line 91: 0h 17m 28s 
Line 92: 3h 54m 37s 
Line 93: 10h 9m 18s 
Line 94: 0h 2m 0s 
Line 95: -11h -57m -34s 
Line 96: 0h 3m 50s 
Line 97: 0h 8m 55s 
Line 98: 13h 7m 6s 
Line 99: 0h 0m 59s 
Line 100: 0h 31m 32s 
Line 101: 0h 3m 33s 
Line 102: 3h 30m 26s 
Line 103: 6h 3m 10s 
Line 104: 0h 0m 51s 
Line 105: 3h 20m 55s 
Line 106: -2h -41m -28s 
Line 107: 0h 5m 59s 
Line 108: 0h 1m 17s 
Line 109: 0h 3m 59s 
Line 110: 0h 3m 40s 
Line 111: 0h 57m 17s 
Line 112: 0h 3m 30s 
Line 113: 2h 19m 11s 
Line 114: 0h 51m 39s 
Line 115: 0h 0m 5s 
Line 116: 0h 16m 40s 
Line 117: 0h 0m 59s 
Line 118: 0h 49m 24s 
Line 119: 0h 1m 27s 
Line 120: 0h 0m 6s 
Line 121: 3h 20m 55s 
Line 122: 0h 1m 0s 
Line 123: 3h 5m 50s 
Line 124: 0h 0m 5s 
Line 125: 10h 13m 45s 
Line 126: 0h 0m 30s 
Line 127: 0h 0m 8s 
Line 128: 0h 7m 33s 
Line 129: 0h 9m 48s 
Line 130: 0h 40m 17s 
Line 131: 0h 0m 6s 
Line 132: 0h 16m 59s 
Line 133: 0h 43m 8s 
Line 134: 0h 1m 34s 
Line 135: 0h 0m 16s 
Line 136: 0h 17m 14s 
Line 137: 0h 30m 0s 
Line 138: 0h 37m 17s 
Line 139: 1h 40m 9s 
Line 140: 0h 22m 20s 
Line 141: 0h 0m 5s 
Line 142: 0h 42m 57s 
Line 143: 0h 0m 15s 
Line 144: 0h 0m 40s 
Line 145: 0h 57m 25s 
Line 146: 0h 0m 8s 
Line 147: 0h 0m 16s 
Line 148: 3h 31m 10s 
Line 149: 0h 1m 40s 
Line 150: 9h 24m 43s 
Line 151: 0h 0m 53s 
Line 152: 0h 1m 56s 
Line 153: 0h 13m 38s 
Line 154: 0h 5m 7s 
Line 155: 2h 58m 16s 
Line 156: 0h 35m 5s 
Line 157: 0h 1m 57s 
Line 158: 1h 49m 18s 
Line 159: 0h 6m 0s 
Line 160: 0h 46m 52s 
Line 161: 0h 0m 12s 
Line 162: 1h 14m 57s 
Line 163: 0h 0m 5s 
Line 164: 0h 0m 24s 
Line 165: 4h 27m 10s 
Line 166: 0h 0m 10s 
Line 167: 0h 46m 40s 
Line 168: 0h 0m 24s 
Line 169: 9h 45m 44s 
Line 170: 0h 3m 11s 
Line 171: 0h 13m 41s 
Line 172: 0h 5m 41s 
Line 173: 0h 7m 47s 
Line 174: 2h 33m 12s 
Line 175: 0h 35m 56s 
Line 176: 0h 46m 4s 
Line 177: 0h 0m 18s 
Line 178: 0h 0m 4s 
Line 179: 0h 39m 13s 
Line 180: 0h 5m 43s 
Line 181: 1h 46m 51s 
Line 182: 0h 0m 3s 
Line 183: 0h 0m 3s 
Line 184: 1h 5m 55s 
Line 185: 0h 4m 51s 
Line 186: 0h 0m 28s 
Line 187: 0h 0m 28s 
Line 188: 0h 2m 6s 
Line 189: 2h 27m 7s 
Line 190: 0h 0m 16s 
Line 191: 2h 12m 16s 
Line 192: 9h 34m 48s 
Line 193: 0h 0m 11s 
Line 194: 0h 0m 9s 
Line 195: 0h 0m 11s 
Line 196: 0h 4m 55s 
Line 197: 0h 8m 49s 
Line 198: 2h 5m 10s 
Line 199: 0h 0m 12s 
Line 200: 2h 11m 38s 
Line 201: 5h 48m 56s 
Line 202: 0h 0m 14s 
Line 203: 0h 58m 23s 
Line 204: 0h 0m 18s 
Line 205: 1h 48m 32s 
Line 206: 0h 1m 19s 
Line 207: 9h 32m 25s 
Line 208: 0h 0m 31s 
Line 209: 0h 0m 20s 
Line 210: 0h 3m 23s 
Line 211: 0h 8m 2s 
Line 212: -10h -36m -38s 
Line 213: 0h 8m 54s 
Line 214: 15h 49m 40s 
Line 215: 0h 13m 59s 
Line 216: 0h 3m 20s 
Line 217: 0h 52m 41s 
Line 218: 0h 0m 2s 
Line 219: 0h 16m 45s 
Line 220: 0h 16m 34s 
Line 221: 1h 44m 37s 
Line 222: 0h 0m 13s 
Line 223: 3h 11m 22s 
Line 224: 0h 0m 18s 
Line 225: 0h 29m 8s 
Line 226: 8h 35m 30s 
Line 227: 0h 7m 48s 
Line 228: 0h 9m 11s 
Line 229: 0h 4m 58s 
Line 230: 0h 6m 52s 
Line 231: -9h -29m -11s 
Line 232: 0h 0m 45s 
Line 233: 4h 3m 0s 
Line 234: 3h 5m 28s 
Line 235: 0h 1m 22s 
Line 236: 4h 30m 25s 
Line 237: 1h 24m 48s 
Line 238: 0h 1m 21s 
Line 239: 9h 26m 19s 
Line 240: -11h -56m -50s 
Line 241: 0h 0m 14s 
Line 242: 0h 15m 46s 
Line 243: 0h 8m 12s 
Line 244: 13h 53m 29s 
Line 245: 0h 52m 5s 
Line 246: 0h 1m 15s 
Line 247: 0h 1m 56s 
Line 248: 5h 57m 57s 
